Message, CRC, Time, DF, CA, ICAO24, TC, Vehicle Category, Flight ID, Status, Antenna, Altitude, UTC Sync, CPR Format, Latitude, Longitude, Subtype, Intent Change, IFR Capability, Velocity Uncertainty, Speed, Heading(°), Heading, Vertical Rate, Turn Indicator, GHD
52E17291E8565CC9B4F5F358FF16, 1, 23-Apr-2026 12:25:08, 10, 2,       ,  0,                   NoData,         ,    StatusUnset, 0,      0, 0, CPRFormatUnset,    0.00000000,    0.00000000, VelocitySubtypeUnset, 0, 0, 0,    0,    0,   ,      0, 0, 0
E395456A4E11B3452AA6D7F2D563, 1, 23-Apr-2026 12:25:08, 28, 3,       ,  0,                   NoData,         ,    StatusUnset, 0,      0, 0, CPRFormatUnset,    0.00000000,    0.00000000, VelocitySubtypeUnset, 0, 0, 0,    0,    0,   ,      0, 0, 0
739643B36CE9AAEC3514C793E353, 1, 23-Apr-2026 12:25:08, 14, 3,       ,  0,                   NoData,         ,    StatusUnset, 0,      0, 0, CPRFormatUnset,    0.00000000,    0.00000000, VelocitySubtypeUnset, 0, 0, 0,    0,    0,   ,      0, 0, 0
7974D7C024B2F85B5BCEE3196955, 1, 23-Apr-2026 12:25:08, 15, 1,       ,  0,                   NoData,         ,    StatusUnset, 0,      0, 0, CPRFormatUnset,    0.00000000,    0.00000000, VelocitySubtypeUnset, 0, 0, 0,    0,    0,   ,      0, 0, 0
92D52AB1CF2938EEC1B95F23954D, 1, 23-Apr-2026 12:25:08, 18, 2,       ,  0,                   NoData,         ,    StatusUnset, 0,      0, 0, CPRFormatUnset,    0.00000000,    0.00000000, VelocitySubtypeUnset, 0, 0, 0,    0,    0,   ,      0, 0, 0
              5DC067F6962B42, 1, 23-Apr-2026 12:25:08, 11, 5,       ,  0,                   NoData,         ,    StatusUnset, 0,      0, 0, CPRFormatUnset,    0.00000000,    0.00000000, VelocitySubtypeUnset, 0, 0, 0,    0,    0,   ,      0, 0, 0
8DA0F4A260AF80374E9BFAF45B30, 1, 23-Apr-2026 12:25:08, 17, 5,       ,  0,                   NoData,         ,    StatusUnset, 0,      0, 0, CPRFormatUnset,    0.00000000,    0.00000000, VelocitySubtypeUnset, 0, 0, 0,    0,    0,   ,      0, 0, 0
8DA5C4E299011084484F07D8DB45, 0, 23-Apr-2026 12:25:09, 17, 5, A5C4E2, 19,                   NoData,         ,    StatusUnset, 0,      0, 0, CPRFormatUnset,    0.00000000,    0.00000000,     CartesianNormal, 0, 0, 0,  273,   97, E ,  -1152, 3, 7
52AA4BAA4D6B14BDA048A2DA2AC8, 1, 23-Apr-2026 12:25:09, 10, 2,       ,  0,                   NoData,         ,    StatusUnset, 0,      0, 0, CPRFormatUnset,    0.00000000,    0.00000000, VelocitySubtypeUnset, 0, 0, 0,    0,    0,   ,      0, 0, 0
8DA80287603D57C1BEF3B48344D7, 0, 23-Apr-2026 12:25:09, 17, 5, A80287, 12,                   NoData,         ,    NoEmergency, 0,  11125, 0,   Odd,           NaN,           NaN, VelocitySubtypeUnset, 0, 0, 0,    0,    0,   ,      0, 0, 0
8DA8028799153B8E4050088BBEA0, 0, 23-Apr-2026 12:25:09, 17, 5, A80287, 19,                   NoData,         ,    StatusUnset, 0,      0, 0, CPRFormatUnset,    0.00000000,    0.00000000,     CartesianNormal, 0, 0, 2,  334,  250, W ,   1216, 0, 8
B4DEE5435B79A8C45CE4F92790FA, 1, 23-Apr-2026 12:25:09, 22, 4,       ,  0,                   NoData,         ,    StatusUnset, 0,      0, 0, CPRFormatUnset,    0.00000000,    0.00000000, VelocitySubtypeUnset, 0, 0, 0,    0,    0,   ,      0, 0, 0
B3A0E9D90C8A88916D7289B88975, 1, 23-Apr-2026 12:25:09, 22, 3,       ,  0,                   NoData,         ,    StatusUnset, 0,      0, 0, CPRFormatUnset,    0.00000000,    0.00000000, VelocitySubtypeUnset, 0, 0, 0,    0,    0,   ,      0, 0, 0
B09CE4B310C6C7962D22E522CD62, 1, 23-Apr-2026 12:25:09, 22, 0,       ,  0,                   NoData,         ,    StatusUnset, 0,      0, 0, CPRFormatUnset,    0.00000000,    0.00000000, VelocitySubtypeUnset, 0, 0, 0,    0,    0,   ,      0, 0, 0
              5DA0F4A2AE76C2, 0, 23-Apr-2026 12:25:09, 11, 5, A0F4A2,  0,                   NoData,         ,    StatusUnset, 0,      0, 0, CPRFormatUnset,    0.00000000,    0.00000000, VelocitySubtypeUnset, 0, 0, 0,    0,    0,   ,      0, 0, 0
66D535FBAAF2965C60A2B5540D50, 1, 23-Apr-2026 12:25:09, 12, 6,       ,  0,                   NoData,         ,    StatusUnset, 0,      0, 0, CPRFormatUnset,    0.00000000,    0.00000000, VelocitySubtypeUnset, 0, 0, 0,    0,    0,   ,      0, 0, 0
23CD9652949228D36DF2C7728D26, 1, 23-Apr-2026 12:25:09,  4, 3,       ,  0,                   NoData,         ,    StatusUnset, 0,      0, 0, CPRFormatUnset,    0.00000000,    0.00000000, VelocitySubtypeUnset, 0, 0, 0,    0,    0,   ,      0, 0, 0
02A185389EE82160A61137683057, 1, 23-Apr-2026 12:25:09,  0, 2,       ,  0,                   NoData,         ,    StatusUnset, 0,      0, 0, CPRFormatUnset,    0.00000000,    0.00000000, VelocitySubtypeUnset, 0, 0, 0,    0,    0,   ,      0, 0, 0
B7E5A751D65AA9CFA4FC2EB6CA10, 1, 23-Apr-2026 12:25:09, 22, 7,       ,  0,                   NoData,         ,    StatusUnset, 0,      0, 0, CPRFormatUnset,    0.00000000,    0.00000000, VelocitySubtypeUnset, 0, 0, 0,    0,    0,   ,      0, 0, 0
02A185389EE821E64B229725EABA, 1, 23-Apr-2026 12:25:09,  0, 2,       ,  0,                   NoData,         ,    StatusUnset, 0,      0, 0, CPRFormatUnset,    0.00000000,    0.00000000, VelocitySubtypeUnset, 0, 0, 0,    0,    0,   ,      0, 0, 0
02C18795B9CA1CD749464A2DBDA3, 1, 23-Apr-2026 12:25:09,  0, 2,       ,  0,                   NoData,         ,    StatusUnset, 0,      0, 0, CPRFormatUnset,    0.00000000,    0.00000000, VelocitySubtypeUnset, 0, 0, 0,    0,    0,   ,      0, 0, 0
200015B8F026B994F16CCB164659, 1, 23-Apr-2026 12:25:09,  4, 0,       ,  0,                   NoData,         ,    StatusUnset, 0,      0, 0, CPRFormatUnset,    0.00000000,    0.00000000, VelocitySubtypeUnset, 0, 0, 0,    0,    0,   ,      0, 0, 0
DF55A569F1A992D636FB76D2E53A, 1, 23-Apr-2026 12:25:09, 27, 7,       ,  0,                   NoData,         ,    StatusUnset, 0,      0, 0, CPRFormatUnset,    0.00000000,    0.00000000, VelocitySubtypeUnset, 0, 0, 0,    0,    0,   ,      0, 0, 0
02C18795B9CA1CF6141438B19458, 1, 23-Apr-2026 12:25:09,  0, 2,       ,  0,                   NoData,         ,    StatusUnset, 0,      0, 0, CPRFormatUnset,    0.00000000,    0.00000000, VelocitySubtypeUnset, 0, 0, 0,    0,    0,   ,      0, 0, 0
02C18795B9CA1CF2AB6E595B3588, 1, 23-Apr-2026 12:25:09,  0, 2,       ,  0,                   NoData,         ,    StatusUnset, 0,      0, 0, CPRFormatUnset,    0.00000000,    0.00000000, VelocitySubtypeUnset, 0, 0, 0,    0,    0,   ,      0, 0, 0
E2CFFBBA244E7AA76549CF68AAF2, 1, 23-Apr-2026 12:25:09, 28, 2,       ,  0,                   NoData,         ,    StatusUnset, 0,      0, 0, CPRFormatUnset,    0.00000000,    0.00000000, VelocitySubtypeUnset, 0, 0, 0,    0,    0,   ,      0, 0, 0
02A185389EE82151A19EB8551A28, 1, 23-Apr-2026 12:25:09,  0, 2,       ,  0,                   NoData,         ,    StatusUnset, 0,      0, 0, CPRFormatUnset,    0.00000000,    0.00000000, VelocitySubtypeUnset, 0, 0, 0,    0,    0,   ,      0, 0, 0
02A185389EE8216CCB714C691848, 1, 23-Apr-2026 12:25:09,  0, 2,       ,  0,                   NoData,         ,    StatusUnset, 0,      0, 0, CPRFormatUnset,    0.00000000,    0.00000000, VelocitySubtypeUnset, 0, 0, 0,    0,    0,   ,      0, 0, 0
02A185389EE821E5332BD0999481, 1, 23-Apr-2026 12:25:09,  0, 2,       ,  0,                   NoData,         ,    StatusUnset, 0,      0, 0, CPRFormatUnset,    0.00000000,    0.00000000, VelocitySubtypeUnset, 0, 0, 0,    0,    0,   ,      0, 0, 0
56009BACE3E36D55E869F54AA52F, 1, 23-Apr-2026 12:25:09, 10, 6,       ,  0,                   NoData,         ,    StatusUnset, 0,      0, 0, CPRFormatUnset,    0.00000000,    0.00000000, VelocitySubtypeUnset, 0, 0, 0,    0,    0,   ,      0, 0, 0
20200A15AB0E69FEAF14CD771458, 1, 23-Apr-2026 12:25:09,  4, 0,       ,  0,                   NoData,         ,    StatusUnset, 0,      0, 0, CPRFormatUnset,    0.00000000,    0.00000000, VelocitySubtypeUnset, 0, 0, 0,    0,    0,   ,      0, 0, 0
2252309975BD6591C6D4D05072D3, 1, 23-Apr-2026 12:25:09,  4, 2,       ,  0,                   NoData,         ,    StatusUnset, 0,      0, 0, CPRFormatUnset,    0.00000000,    0.00000000, VelocitySubtypeUnset, 0, 0, 0,    0,    0,   ,      0, 0, 0
